Country,Id,Model,Pretty,Sex,MAE (g / L),RMSE (g / L),MAE (mmol / L),RMSE (mmol / L),AUROC value,AUROC low,AUROC high,AUPR value,AUPR low,AUPR high,F1 value,F1 low,F1 high
Finland,bl-male,bl,Baseline,male,NA,NA,NA,NA,0.893978661,0.837752874,0.950204447,0.116306464,0.012826301,0.196401966,0.090261283,0.07234207,0.108337053
Finland,bl-female,bl,Baseline,female,NA,NA,NA,NA,0.804683723,0.746580103,0.862787343,0.060318574,0.031330335,0.083754916,0.106235566,0.082637288,0.129035946
Finland,rf-male,rf,Random forest,male,NA,NA,NA,NA,0.876568057,0.787305371,0.965830744,0.220082963,0.068423507,0.360842572,NA,NA,NA
Finland,rf-female,rf,Random forest,female,NA,NA,NA,NA,0.838931755,0.770910014,0.906953496,0.184500022,0.032901726,0.295935937,NA,NA,NA
Finland,svm-male,svm,Support Vector Machine,male,NA,NA,NA,NA,0.808249014,0.699868736,0.916629292,0.113772534,0.005742276,0.211189937,0.12745098,0.080383168,0.173497656
Finland,svm-female,svm,Support Vector Machine,female,NA,NA,NA,NA,0.693353445,0.596320454,0.790386436,0.062307446,-0.016759657,0.113067727,0.09252669,0.054029759,0.131552397
Finland,lmm-male,lmm,Linear mixed model,male,6.406719824,8.16206617,0.397472898,0.506374585,0.888850597,0.822397694,0.9553035,0.19958688,0.052089437,0.33658474,NA,NA,NA
Finland,dlmm-male,dlmm,Dynamic linear mixed model,male,6.350944449,8.086672998,0.394012594,0.501697193,0.889539853,0.808201238,0.970878468,0.215625535,0.054777814,0.356991363,NA,NA,NA
Finland,lmm-female,lmm,Linear mixed model,female,6.077807363,7.73470566,0.377067169,0.479861139,0.834658003,0.760638416,0.90867759,0.215951337,0.082826323,0.342964962,0.058823529,-0.05694123,0.112114553
Finland,dlmm-female,dlmm,Dynamic linear mixed model,female,6.044678155,7.692051433,0.375011833,0.477214871,0.82290035,0.749083216,0.896717484,0.178913333,0.049742835,0.295112763,0.058823529,-0.053763435,0.109387871
Belgium,bl-male,bl,Baseline,male,NA,NA,NA,NA,0.896820853,0.843616581,0.950025126,0.337673679,0.164223297,0.481235727,0.264150943,0.221910469,0.306756933
Belgium,bl-female,bl,Baseline,female,NA,NA,NA,NA,0.835000595,0.796881496,0.873119695,0.455471813,0.373595167,0.532162447,0.47027027,0.425814884,0.514191014
Belgium,rf-male,rf,Random forest,male,NA,NA,NA,NA,0.903289825,0.844631884,0.961947767,0.463952184,0.29896822,0.625377006,0.363636364,0.186616827,0.549340461
Belgium,rf-female,rf,Random forest,female,NA,NA,NA,NA,0.868576575,0.832558453,0.904594697,0.57988338,0.497186804,0.65977933,0.519774011,0.432817255,0.608613718
Belgium,svm-male,svm,Support Vector Machine,male,NA,NA,NA,NA,0.828619953,0.744418682,0.912821224,0.382145446,0.222709838,0.540923761,0.266666667,0.194592332,0.337915171
Belgium,svm-female,svm,Support Vector Machine,female,NA,NA,NA,NA,0.805689532,0.752681767,0.858697297,0.486326823,0.390131062,0.575678332,0.503225806,0.448073852,0.558846154
Belgium,dlmm-male,dlmm,Dynamic linear mixed model,male,4.753778077,6.167225752,0.294924392,0.382614686,0.852072361,0.781140794,0.923003927,0.259242202,0.094769712,0.386453163,NA,NA,NA
Belgium,dlmm-female,dlmm,Dynamic linear mixed model,female,5.198077507,6.711538703,0.322488729,0.416383861,0.824386686,0.782568612,0.866204759,0.457225031,0.365141822,0.542492449,0.158730159,0.073306864,0.246894791
Netherlands,bl-male,bl,Baseline,male,NA,NA,NA,NA,0.844278847,0.780682992,0.907874703,0.111374302,0.02701433,0.19189304,0.090415913,0.07640328,0.104514757
Netherlands,bl-female,bl,Baseline,female,NA,NA,NA,NA,0.813967387,0.762615229,0.865319544,0.112777898,0.063448857,0.152314689,0.143769968,0.126184299,0.160393978
Netherlands,rf-male,rf,Random forest,male,NA,NA,NA,NA,0.820595272,0.744408888,0.896781656,0.096369776,0.020367564,0.154607504,NA,NA,NA
Netherlands,rf-female,rf,Random forest,female,NA,NA,NA,NA,0.81967533,0.762247189,0.877103471,0.190126408,0.0898932,0.275340657,NA,NA,NA
Netherlands,svm-male,svm,Support Vector Machine,male,NA,NA,NA,NA,0.734366426,0.628379609,0.840353243,0.064510027,0.017669517,0.102624201,0.103174603,0.063436459,0.143784548
Netherlands,svm-female,svm,Support Vector Machine,female,NA,NA,NA,NA,0.778329329,0.708563054,0.848095604,0.130918488,0.052339083,0.189629914,0.15942029,0.125132001,0.193654048
Netherlands,lmm-male,lmm,Linear mixed model,male,6.379890523,8.156344782,0.395808408,0.50601963,0.91748063,0.879469549,0.95549171,0.172233564,0.041498564,0.274617116,NA,NA,NA
Netherlands,dlmm-male,dlmm,Dynamic linear mixed model,male,6.258882665,7.98115655,0.388301081,0.495150952,0.926304353,0.892347851,0.960260854,0.229313932,0.082487173,0.359661706,0.125,-0.022650815,0.244776472
Netherlands,lmm-female,lmm,Linear mixed model,female,5.989665122,7.605034539,0.371598824,0.471816343,0.834981888,0.788153685,0.881810091,0.151363732,0.073557961,0.212673507,0.125,0.021578325,0.231500961
Netherlands,dlmm-female,dlmm,Dynamic linear mixed model,female,5.957686119,7.556270499,0.369614847,0.468791022,0.84259248,0.797105043,0.888079916,0.164845437,0.07253904,0.233603023,0.095238095,-0.002142222,0.187206978
